"id","order_id","product_id","quantity","discount"
104,"CA-2014-103527","OFF-PA-10001622",3,0.20
105,"CA-2014-103590","OFF-EN-10004007",4,0.00
106,"CA-2014-103660","TEC-PH-10000895",7,0.20
107,"CA-2014-103702","OFF-BI-10002429",7,0.70
108,"CA-2014-103744","OFF-LA-10004425",3,0.20
109,"CA-2014-103744","OFF-BI-10000320",3,0.80
110,"CA-2014-103800","OFF-PA-10000174",2,0.20
111,"CA-2014-103807","OFF-PA-10002195",3,0.00
112,"CA-2014-103807","TEC-AC-10000199",1,0.00
113,"CA-2014-103849","FUR-FU-10000723",4,0.60
114,"CA-2014-103849","TEC-AC-10001465",2,0.20
115,"CA-2014-103849","TEC-PH-10002597",1,0.20
116,"CA-2014-103940","OFF-ST-10004963",2,0.00
117,"CA-2014-103940","FUR-FU-10004671",2,0.00
118,"CA-2014-103940","OFF-BI-10002735",5,0.20
119,"CA-2014-103940","OFF-ST-10000943",3,0.00
120,"CA-2014-103989","OFF-ST-10000918",3,0.20
121,"CA-2014-103989","TEC-PH-10004667",3,0.20
122,"CA-2014-103989","TEC-AC-10002647",2,0.20
123,"CA-2014-103989","FUR-FU-10002508",3,0.20
124,"CA-2014-103989","FUR-FU-10003981",3,0.20
125,"CA-2014-103989","OFF-BI-10001196",5,0.70
126,"CA-2014-103989","OFF-LA-10000443",4,0.20
127,"CA-2014-104178","TEC-AC-10002399",5,0.00
128,"CA-2014-104178","FUR-FU-10000771",1,0.00
129,"CA-2014-104178","OFF-PA-10004983",4,0.00
130,"CA-2014-104178","OFF-ST-10004258",4,0.00
131,"CA-2014-104269","FUR-CH-10004063",2,0.20
132,"CA-2014-104283","TEC-AC-10000109",4,0.00
133,"CA-2014-104283","OFF-ST-10004337",5,0.00
134,"CA-2014-104283","FUR-TA-10001039",1,0.00
135,"CA-2014-104402","TEC-MA-10000423",3,0.00
136,"CA-2014-104472","OFF-BI-10001658",3,0.20
137,"CA-2014-104472","FUR-FU-10000246",6,0.00
138,"CA-2014-104563","FUR-CH-10002780",6,0.20
139,"CA-2014-104563","OFF-ST-10000934",5,0.00
140,"CA-2014-104563","OFF-AR-10000390",5,0.00
141,"CA-2014-104563","FUR-CH-10004495",2,0.20
142,"CA-2014-104738","OFF-EN-10004955",3,0.20
143,"CA-2014-104738","TEC-AC-10003628",2,0.20
144,"CA-2014-104738","OFF-BI-10002160",3,0.80
145,"CA-2014-104738","TEC-PH-10000576",3,0.20
146,"CA-2014-104738","TEC-PH-10002468",2,0.20
147,"CA-2014-104773","OFF-ST-10000777",2,0.20
148,"CA-2014-104780","OFF-AR-10003514",8,0.00
149,"CA-2014-104808","OFF-BI-10003676",2,0.20
150,"CA-2014-104829","OFF-PA-10003016",7,0.00
151,"CA-2014-104976","OFF-PA-10003845",6,0.00
152,"CA-2014-105165","OFF-AR-10003179",3,0.20
153,"CA-2014-105165","OFF-BI-10000050",2,0.80
154,"CA-2014-105165","TEC-PH-10000675",3,0.20
155,"CA-2014-105165","FUR-TA-10004154",1,0.30
156,"CA-2014-105165","TEC-AC-10002718",4,0.20
157,"CA-2014-105172","OFF-LA-10001641",6,0.00
158,"CA-2014-105249","FUR-BO-10000330",4,0.15
159,"CA-2014-105249","OFF-SU-10001225",2,0.00
160,"CA-2014-105249","OFF-LA-10002043",4,0.00
161,"CA-2014-105270","FUR-CH-10000988",1,0.20
162,"CA-2014-105270","OFF-AR-10003156",3,0.00
163,"CA-2014-105340","OFF-BI-10001765",1,0.80
164,"CA-2014-105417","FUR-FU-10004864",3,0.60
165,"CA-2014-105417","OFF-BI-10003708",7,0.80
166,"CA-2014-105648","FUR-TA-10002958",3,0.20
167,"CA-2014-105872","OFF-BI-10003684",4,0.20
168,"CA-2014-105893","OFF-ST-10004186",6,0.00
169,"CA-2014-105984","FUR-CH-10000847",3,0.30
170,"CA-2014-105984","TEC-PH-10000560",5,0.40
171,"CA-2014-106054","OFF-AR-10002399",3,0.00
172,"CA-2014-106229","FUR-TA-10002041",3,0.50
173,"CA-2014-106264","FUR-FU-10001852",2,0.00
174,"CA-2014-106264","OFF-SU-10002189",3,0.00
175,"CA-2014-106376","OFF-AR-10002671",8,0.20
176,"CA-2014-106376","TEC-PH-10002726",4,0.20
177,"CA-2014-106439","OFF-FA-10002975",3,0.00
178,"CA-2014-106439","OFF-ST-10003996",5,0.00
179,"CA-2014-106439","OFF-BI-10002571",2,0.20
180,"CA-2014-106439","OFF-PA-10000477",13,0.00
181,"CA-2014-106439","OFF-AR-10001419",3,0.00
182,"CA-2014-106439","OFF-BI-10004209",3,0.20
183,"CA-2014-106439","OFF-ST-10001963",4,0.00
184,"CA-2014-106439","TEC-AC-10004568",9,0.00
185,"CA-2014-106439","FUR-CH-10003833",3,0.20
186,"CA-2014-106572","OFF-ST-10000585",2,0.20
187,"CA-2014-106719","OFF-BI-10002799",2,0.20
188,"CA-2014-106726","OFF-ST-10001496",7,0.00
189,"CA-2014-106803","TEC-AC-10001267",4,0.00
190,"CA-2014-106803","OFF-ST-10002444",2,0.00
191,"CA-2014-106810","FUR-FU-10004306",2,0.20
192,"CA-2014-106971","TEC-AC-10000844",7,0.20
193,"CA-2014-107139","OFF-BI-10001670",6,0.20
194,"CA-2014-107153","OFF-ST-10001321",3,0.00
195,"CA-2014-107181","OFF-PA-10000350",4,0.00
196,"CA-2014-107181","OFF-BI-10004230",3,0.20
197,"CA-2014-107398","OFF-BI-10002103",8,0.70
198,"CA-2014-107398","OFF-BI-10004141",3,0.70
199,"CA-2014-107398","OFF-BI-10001982",4,0.70
200,"CA-2014-107454","FUR-FU-10004018",6,0.00
201,"CA-2014-107454","OFF-LA-10001569",7,0.00
202,"CA-2014-107524","OFF-PA-10000587",5,0.00
203,"CA-2014-107524","OFF-EN-10001990",2,0.00
204,"CA-2014-107573","OFF-EN-10001099",3,0.20
205,"CA-2014-107594","OFF-AR-10000716",1,0.00
206,"CA-2014-107594","TEC-PH-10002923",2,0.00
207,"CA-2014-107706","OFF-PA-10000466",3,0.20
208,"CA-2014-107755","TEC-AC-10000710",7,0.00
209,"CA-2014-107769","TEC-PH-10001336",2,0.00
210,"CA-2014-107811","OFF-ST-10000798",5,0.20
211,"CA-2014-107811","FUR-CH-10001394",2,0.20
212,"CA-2014-107818","OFF-AR-10000380",8,0.00
213,"CA-2014-107818","OFF-ST-10000736",6,0.00
214,"CA-2014-107818","OFF-AR-10003045",2,0.00
215,"CA-2014-107818","FUR-CH-10000454",5,0.20
216,"CA-2014-107916","FUR-FU-10004586",2,0.00
217,"CA-2014-107916","OFF-BI-10001116",3,0.20
218,"CA-2014-108147","OFF-BI-10003876",2,0.20
219,"CA-2014-108147","OFF-ST-10003470",6,0.00
220,"CA-2014-108182","OFF-BI-10001196",2,0.80
221,"CA-2014-108189","TEC-PH-10001557",3,0.20
222,"CA-2014-108189","OFF-FA-10000735",2,0.20
223,"CA-2014-108189","TEC-PH-10001760",2,0.20
224,"CA-2014-108189","OFF-EN-10004846",6,0.20
225,"CA-2014-108189","OFF-SU-10003567",2,0.20
226,"CA-2014-108189","TEC-AC-10003038",1,0.20
227,"CA-2014-108189","OFF-PA-10001838",2,0.20
228,"CA-2014-108273","OFF-PA-10000029",7,0.20
229,"CA-2014-108273","FUR-FU-10002116",2,0.60
230,"CA-2014-108609","FUR-TA-10003954",8,0.40
231,"CA-2014-108707","OFF-PA-10000788",2,0.20
232,"CA-2014-108861","OFF-BI-10003876",4,0.20
233,"CA-2014-108903","OFF-AR-10004010",2,0.20
234,"CA-2014-108903","TEC-AC-10003023",3,0.20
235,"CA-2014-108903","OFF-EN-10004030",5,0.20
236,"CA-2014-109043","OFF-AP-10004708",5,0.20
237,"CA-2014-109043","OFF-PA-10000312",5,0.20
238,"CA-2014-109127","OFF-LA-10004409",6,0.00
239,"CA-2014-109134","FUR-FU-10000320",6,0.00
240,"CA-2014-109218","OFF-AR-10001374",5,0.00
241,"CA-2014-109232","FUR-CH-10000422",6,0.00
242,"CA-2014-109302","OFF-BI-10002854",7,0.00
243,"CA-2014-109491","TEC-AC-10001284",3,0.00
244,"CA-2014-109491","FUR-FU-10000221",4,0.00
245,"CA-2014-109680","OFF-ST-10001932",2,0.00
246,"CA-2014-109855","TEC-AC-10002842",3,0.00
247,"CA-2014-109855","OFF-BI-10004716",2,0.20
248,"CA-2014-109890","TEC-PH-10004100",2,0.00
249,"CA-2014-109897","FUR-FU-10002878",3,0.00
250,"CA-2014-109897","TEC-PH-10003691",8,0.20
251,"CA-2014-109904","OFF-AR-10004999",3,0.00
252,"CA-2014-109918","OFF-BI-10004308",5,0.20
253,"CA-2014-109918","OFF-SU-10004290",4,0.00
254,"CA-2014-109918","OFF-PA-10000174",2,0.00
255,"CA-2014-109932","OFF-PA-10001804",2,0.20
256,"CA-2014-109932","OFF-ST-10000036",3,0.20
257,"CA-2014-110030","FUR-FU-10002759",3,0.60
258,"CA-2014-110065","OFF-AR-10004165",7,0.00
259,"CA-2014-110065","TEC-PH-10002468",1,0.00
260,"CA-2014-110072","FUR-FU-10000521",4,0.20
261,"CA-2014-110100","TEC-PH-10004531",3,0.20
262,"CA-2014-110184","TEC-PH-10000439",8,0.20
263,"CA-2014-110184","OFF-ST-10000107",9,0.00
264,"CA-2014-110219","FUR-CH-10001146",3,0.30
265,"CA-2014-110352","OFF-LA-10003923",2,0.20
266,"CA-2014-110408","OFF-ST-10001522",3,0.00
267,"CA-2014-110408","TEC-PH-10002352",5,0.00
268,"CA-2014-110408","FUR-CH-10003774",6,0.00
269,"CA-2014-110422","FUR-FU-10001889",3,0.20
270,"CA-2014-110527","OFF-LA-10000262",8,0.00
271,"CA-2014-110555","TEC-AC-10003399",6,0.00
272,"CA-2014-110555","OFF-ST-10000876",7,0.00
273,"CA-2014-110555","TEC-PH-10000586",2,0.20
274,"CA-2014-110611","OFF-ST-10000642",5,0.20
275,"CA-2014-110639","OFF-PA-10003936",4,0.00
276,"CA-2014-110639","OFF-PA-10004530",4,0.00
277,"CA-2014-110786","TEC-MA-10003183",6,0.20
278,"CA-2014-110786","FUR-FU-10000672",6,0.00
279,"CA-2014-110786","OFF-LA-10001474",9,0.00
280,"CA-2014-110786","TEC-PH-10001425",3,0.20
281,"CA-2014-110786","OFF-BI-10003305",3,0.20
282,"CA-2014-110786","OFF-PA-10000528",4,0.00
283,"CA-2014-110786","FUR-FU-10000550",5,0.00
284,"CA-2014-110849","TEC-MA-10002859",4,0.20
285,"CA-2014-110849","OFF-AR-10000657",5,0.00
286,"CA-2014-110849","OFF-FA-10000134",2,0.00
287,"CA-2014-110849","OFF-AR-10002375",4,0.00
288,"CA-2014-111003","OFF-AR-10002135",6,0.00
289,"CA-2014-111003","OFF-BI-10001072",3,0.00
290,"CA-2014-111059","OFF-BI-10004593",2,0.20
291,"CA-2014-111059","OFF-BI-10002827",3,0.20
292,"CA-2014-111150","OFF-AR-10000034",7,0.00
293,"CA-2014-111150","TEC-AC-10000290",7,0.00
294,"CA-2014-111157","TEC-AC-10004353",3,0.20
295,"CA-2014-111157","OFF-PA-10000327",1,0.20
296,"CA-2014-111192","FUR-BO-10002916",8,0.00
297,"CA-2014-111360","OFF-BI-10003350",3,0.70
298,"CA-2014-111451","OFF-FA-10004854",3,0.20
299,"CA-2014-111451","OFF-BI-10004593",5,0.70
300,"CA-2014-111451","FUR-FU-10004091",8,0.20
301,"CA-2014-111451","FUR-FU-10002918",3,0.20
302,"CA-2014-111451","FUR-CH-10001891",3,0.20
303,"CA-2014-111500","OFF-FA-10002676",7,0.00
304,"CA-2014-111500","OFF-PA-10000595",5,0.00
305,"CA-2014-111500","OFF-BI-10000829",4,0.00
306,"CA-2014-111500","TEC-AC-10000844",4,0.00
307,"CA-2014-111773","OFF-BI-10000174",3,0.20
308,"CA-2014-111857","OFF-PA-10001878",1,0.00
309,"CA-2014-111871","FUR-BO-10004218",10,0.15
310,"CA-2014-111899","OFF-FA-10000840",6,0.20
311,"CA-2014-111899","OFF-AR-10001725",2,0.20
312,"CA-2014-111934","OFF-BI-10004364",2,0.00
313,"CA-2014-111934","OFF-PA-10000474",1,0.00
314,"CA-2014-111962","OFF-BI-10001308",2,0.20
315,"CA-2014-111962","OFF-ST-10000046",5,0.00
316,"CA-2014-112158","OFF-BI-10000050",8,0.20
317,"CA-2014-112158","FUR-BO-10003272",5,0.20
318,"CA-2014-112158","TEC-AC-10003628",4,0.00
319,"CA-2014-112291","TEC-AC-10001284",3,0.00
320,"CA-2014-112291","OFF-EN-10001415",2,0.00
321,"CA-2014-112291","TEC-AC-10000736",2,0.00
322,"CA-2014-112326","OFF-BI-10004094",2,0.80
323,"CA-2014-112326","OFF-ST-10002743",3,0.20
324,"CA-2014-112326","OFF-LA-10003223",3,0.20
325,"CA-2014-112403","OFF-BI-10003529",1,0.70
326,"CA-2014-112718","OFF-BI-10000591",1,0.70
327,"CA-2014-112837","FUR-FU-10004006",3,0.00
328,"CA-2014-112851","OFF-EN-10001453",3,0.00
329,"CA-2014-113047","OFF-FA-10002763",3,0.00
330,"CA-2014-113166","OFF-PA-10001947",2,0.20
331,"CA-2014-113257","TEC-AC-10004171",4,0.20
332,"CA-2014-113257","FUR-FU-10001706",7,0.60
333,"CA-2014-113271","FUR-BO-10004218",1,0.15
334,"CA-2014-113271","OFF-PA-10002365",5,0.00
335,"CA-2014-113271","OFF-AR-10003251",2,0.00
336,"CA-2014-113271","OFF-BI-10002609",6,0.20
337,"CA-2014-113320","OFF-ST-10000617",3,0.00
338,"CA-2014-113320","FUR-FU-10001706",3,0.00
339,"CA-2014-113320","FUR-FU-10004270",3,0.00
340,"CA-2014-113362","OFF-ST-10001809",5,0.00
341,"CA-2014-113362","OFF-EN-10003845",3,0.00
342,"CA-2014-113383","OFF-AP-10004532",4,0.00
343,"CA-2014-113383","FUR-FU-10001986",5,0.00
344,"CA-2014-113579","OFF-PA-10001457",6,0.00
345,"CA-2014-113768","OFF-PA-10003063",2,0.00
346,"CA-2014-113768","FUR-CH-10002439",6,0.20
347,"CA-2014-113859","FUR-CH-10004698",6,0.30
348,"CA-2014-113880","FUR-CH-10000863",6,0.30
349,"CA-2014-113880","OFF-PA-10003036",3,0.20
350,"CA-2014-113887","OFF-PA-10004071",1,0.00
351,"CA-2014-113929","OFF-BI-10002852",3,0.20
352,"CA-2014-113929","OFF-AR-10003772",4,0.00
353,"CA-2014-113929","OFF-EN-10003286",5,0.00
354,"CA-2014-113964","OFF-BI-10004654",4,0.20
355,"CA-2014-114125","OFF-LA-10004559",1,0.00
356,"CA-2014-114125","OFF-ST-10001505",4,0.00
357,"CA-2014-114125","OFF-BI-10003291",6,0.20
358,"CA-2014-114181","FUR-BO-10004467",7,0.50
359,"CA-2014-114181","OFF-AR-10000716",5,0.20
360,"CA-2014-114195","FUR-FU-10002253",2,0.20
361,"CA-2014-114195","OFF-BI-10000494",2,0.70
362,"CA-2014-114195","OFF-BI-10001658",3,0.70
363,"CA-2014-114251","FUR-FU-10001468",2,0.20
364,"CA-2014-114251","OFF-BI-10003684",2,0.70
365,"CA-2014-114251","OFF-ST-10003716",6,0.20
366,"CA-2014-114251","TEC-AC-10001101",5,0.20
367,"CA-2014-114251","TEC-AC-10004864",2,0.20
368,"CA-2014-114314","OFF-LA-10000240",1,0.00
369,"CA-2014-114314","FUR-FU-10002107",4,0.00
370,"CA-2014-114321","FUR-CH-10001797",13,0.00
371,"CA-2014-114321","OFF-BI-10001359",1,0.00
372,"CA-2014-114321","OFF-PA-10000246",2,0.00
373,"CA-2014-114335","FUR-FU-10000277",4,0.20
374,"CA-2014-114433","TEC-AC-10002800",3,0.00
375,"CA-2014-114510","TEC-AC-10004877",12,0.00
376,"CA-2014-114510","OFF-BI-10003007",2,0.20
377,"CA-2014-114510","OFF-BI-10001617",4,0.20
378,"CA-2014-114510","OFF-ST-10000736",1,0.00
379,"CA-2014-114510","OFF-ST-10003221",2,0.00
380,"CA-2014-114517","OFF-AP-10002350",3,0.00
381,"CA-2014-114517","FUR-TA-10001676",2,0.40
382,"CA-2014-114643","OFF-AR-10003631",3,0.00
383,"CA-2014-114790","OFF-AP-10002578",3,0.00
384,"CA-2014-114790","OFF-PA-10000213",3,0.00
385,"CA-2014-114790","TEC-AC-10000710",2,0.00
386,"CA-2014-114790","TEC-PH-10000984",3,0.00
387,"CA-2014-115049","TEC-AC-10004859",11,0.20
388,"CA-2014-115056","OFF-AP-10003971",3,0.20
389,"CA-2014-115084","FUR-CH-10004626",6,0.00
390,"CA-2014-115133","OFF-PA-10000174",4,0.20
391,"CA-2014-115133","TEC-AC-10002370",2,0.20
392,"CA-2014-115133","OFF-AP-10001634",6,0.20
393,"CA-2014-115161","FUR-BO-10003966",2,0.15
394,"CA-2014-115259","OFF-EN-10002504",6,0.20
395,"CA-2014-115259","OFF-EN-10002600",2,0.20
396,"CA-2014-115259","OFF-PA-10004965",3,0.20
397,"CA-2014-115259","OFF-FA-10000621",14,0.20
398,"CA-2014-115336","OFF-BI-10001107",5,0.80
399,"CA-2014-115357","TEC-AC-10000023",3,0.00
400,"CA-2014-115791","OFF-LA-10001074",3,0.20
401,"CA-2014-115791","OFF-BI-10001575",2,0.70
402,"CA-2014-115791","TEC-PH-10004614",3,0.40
403,"CA-2014-115791","FUR-FU-10001095",6,0.20
404,"CA-2014-115812","FUR-FU-10001487",7,0.00
405,"CA-2014-115812","OFF-BI-10003910",3,0.20
406,"CA-2014-115812","TEC-PH-10002275",6,0.20
407,"CA-2014-115812","OFF-AP-10002892",5,0.00
408,"CA-2014-115812","OFF-AR-10002833",4,0.00
409,"CA-2014-115812","FUR-TA-10001539",9,0.20
410,"CA-2014-115812","TEC-PH-10002033",4,0.20
411,"CA-2014-115889","OFF-ST-10003208",2,0.00
412,"CA-2014-115889","TEC-PH-10001615",2,0.20
413,"CA-2014-115973","OFF-AR-10004757",1,0.20
414,"CA-2014-115980","TEC-AC-10003709",3,0.00
415,"CA-2014-115980","OFF-FA-10000304",3,0.00
416,"CA-2014-116190","FUR-FU-10000719",3,0.00
417,"CA-2014-116190","FUR-CH-10000553",2,0.00
418,"CA-2014-116190","OFF-LA-10002762",13,0.00
419,"CA-2014-116239","OFF-ST-10001370",5,0.00
420,"CA-2014-116246","FUR-CH-10002024",6,0.10
421,"CA-2014-116407","OFF-AR-10001315",3,0.20
422,"CA-2014-116407","OFF-PA-10002137",4,0.20
423,"CA-2014-116407","OFF-AP-10002118",2,0.20
424,"CA-2014-116568","FUR-CH-10002439",4,0.20
425,"CA-2014-116666","TEC-CO-10001449",5,0.40
426,"CA-2014-116673","FUR-FU-10003829",2,0.00
427,"CA-2014-116757","OFF-PA-10002005",5,0.20
428,"CA-2014-116757","OFF-FA-10002815",6,0.20
429,"CA-2014-116785","OFF-LA-10000305",2,0.00
430,"CA-2014-116785","OFF-AR-10003504",5,0.00
431,"CA-2014-116834","FUR-FU-10001196",11,0.00
432,"CA-2014-116834","TEC-AC-10002942",5,0.00
433,"CA-2014-116904","OFF-ST-10000736",5,0.00
434,"CA-2014-116904","OFF-PA-10004888",5,0.00
435,"CA-2014-116904","OFF-BI-10001120",5,0.00
436,"CA-2014-116904","OFF-BI-10000301",2,0.00
437,"CA-2014-116932","OFF-AR-10002067",5,0.00
438,"CA-2014-116932","FUR-CH-10001215",2,0.20
439,"CA-2014-116932","FUR-TA-10004175",1,0.20
440,"CA-2014-117016","OFF-AR-10001374",3,0.20
441,"CA-2014-117317","OFF-PA-10004519",3,0.00
442,"CA-2014-117345","FUR-FU-10000629",4,0.20
443,"CA-2014-117345","OFF-PA-10002377",2,0.20
444,"CA-2014-117345","OFF-AP-10001005",1,0.20
445,"CA-2014-117345","OFF-LA-10000240",3,0.20
446,"CA-2014-117429","FUR-FU-10000222",5,0.20
447,"CA-2014-117464","FUR-CH-10000155",3,0.20
448,"CA-2014-117464","OFF-AR-10003190",4,0.00
449,"CA-2014-117464","OFF-ST-10003058",10,0.00
450,"CA-2014-117464","FUR-TA-10004767",3,0.20
451,"CA-2014-117478","OFF-BI-10000050",3,0.70
452,"CA-2014-117639","TEC-PH-10001530",3,0.00
453,"CA-2014-117639","OFF-BI-10003925",7,0.00
454,"CA-2014-117709","OFF-BI-10001294",4,0.00
455,"CA-2014-117765","OFF-ST-10003327",2,0.00
456,"CA-2014-117765","OFF-BI-10000474",2,0.00
457,"CA-2014-117765","FUR-CH-10004698",2,0.00
458,"CA-2014-117765","FUR-TA-10001039",5,0.00
459,"CA-2014-118192","OFF-BI-10003476",2,0.70
460,"CA-2014-118192","OFF-PA-10002947",7,0.20
461,"CA-2014-118276","FUR-FU-10002111",3,0.60
462,"CA-2014-118304","TEC-PH-10000376",2,0.00
463,"CA-2014-118339","OFF-BI-10000136",6,0.00
464,"CA-2014-118339","OFF-AP-10001154",2,0.00
465,"CA-2014-118339","OFF-PA-10000466",7,0.00
466,"CA-2014-118339","OFF-AR-10003829",6,0.00
467,"CA-2014-118339","OFF-BI-10001758",10,0.00
468,"CA-2014-118962","FUR-CH-10003817",7,0.20
469,"CA-2014-118962","OFF-PA-10000659",3,0.00
470,"CA-2014-118962","OFF-PA-10001144",2,0.00
471,"CA-2014-118976","OFF-AR-10004752",2,0.00
472,"CA-2014-118976","OFF-LA-10000452",1,0.00
473,"CA-2014-118976","OFF-BI-10001628",2,0.00
474,"CA-2014-118976","OFF-ST-10000877",9,0.00
475,"CA-2014-119032","OFF-FA-10003021",2,0.00
476,"CA-2014-119144","TEC-PH-10004188",4,0.20
477,"CA-2014-119144","OFF-ST-10000991",3,0.00
478,"CA-2014-119144","FUR-BO-10004015",3,0.15
479,"CA-2014-119151","OFF-ST-10003470",4,0.00
480,"CA-2014-119151","FUR-BO-10003159",3,0.20
481,"CA-2014-119172","OFF-BI-10002026",9,0.80
