"product_id","category","subcategory","product_nm","price"
"FUR-FU-10000277","Furniture","Furnishings","Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting",42.14
"FUR-FU-10000293","Furniture","Furnishings","Eldon Antistatic Chair Mats for Low to Medium Pile Carpets",84.23
"FUR-FU-10000305","Furniture","Furnishings","Tenex V2T-RE Standard Weight Series Chair Mat, 45"" x 53"", Lip 25"" x 12""",56.78
"FUR-FU-10000308","Furniture","Furnishings","Deflect-o Glass Clear Studded Chair Mats",49.74
"FUR-FU-10000320","Furniture","Furnishings","OIC Stacking Trays",1.34
"FUR-FU-10000397","Furniture","Furnishings","Luxo Economy Swing Arm Lamp",19.94
"FUR-FU-10000409","Furniture","Furnishings","GE 4 Foot Flourescent Tube, 40 Watt",11.98
"FUR-FU-10000448","Furniture","Furnishings","Tenex Chairmats For Use With Carpeted Floors",15.98
"FUR-FU-10000521","Furniture","Furnishings","Seth Thomas 14"" Putty-Colored Wall Clock",23.47
"FUR-FU-10000550","Furniture","Furnishings","Stacking Trays by OIC",1.99
"FUR-FU-10000576","Furniture","Furnishings","Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base",83.94
"FUR-FU-10000629","Furniture","Furnishings","9-3/4 Diameter Round Wall Clock",11.03
"FUR-FU-10000672","Furniture","Furnishings","Executive Impressions 10"" Spectator Wall Clock",11.76
"FUR-FU-10000719","Furniture","Furnishings","DAX Cubicle Frames, 8-1/2 x 11",8.57
"FUR-FU-10000723","Furniture","Furnishings","Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",16.53
"FUR-FU-10000732","Furniture","Furnishings","Eldon 200 Class Desk Accessories",5.02
"FUR-FU-10000747","Furniture","Furnishings","Tenex B1-RE Series Chair Mats for Low Pile Carpets",36.78
"FUR-FU-10000755","Furniture","Furnishings","Eldon Expressions Mahogany Wood Desk Collection",6.24
"FUR-FU-10000758","Furniture","Furnishings","DAX Natural Wood-Tone Poster Frame",10.59
"FUR-FU-10000771","Furniture","Furnishings","Eldon 200 Class Desk Accessories, Smoke",6.28
"FUR-FU-10000794","Furniture","Furnishings","Eldon Stackable Tray, Side-Load, Legal, Smoke",9.14
"FUR-FU-10000820","Furniture","Furnishings","Tensor Brushed Steel Torchiere Floor Lamp",6.80
"FUR-FU-10000965","Furniture","Furnishings","Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",20.78
"FUR-FU-10001025","Furniture","Furnishings","Eldon Imàge Series Desk Accessories, Clear",1.94
"FUR-FU-10001037","Furniture","Furnishings","DAX Charcoal/Nickel-Tone Document Frame, 5 x 7",3.79
"FUR-FU-10001057","Furniture","Furnishings","Tensor Track Tree Floor Lamp",15.99
"FUR-FU-10001085","Furniture","Furnishings","3M Polarizing Light Filter Sleeves",7.46
"FUR-FU-10001095","Furniture","Furnishings","DAX Black Cherry Wood-Tone Poster Frame",10.59
"FUR-FU-10001185","Furniture","Furnishings","Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",24.74
"FUR-FU-10001196","Furniture","Furnishings","DAX Cubicle Frames - 8x10",2.31
"FUR-FU-10001215","Furniture","Furnishings","Howard Miller 11-1/2"" Diameter Brentwood Wall Clock",17.25
"FUR-FU-10001290","Furniture","Furnishings","Executive Impressions Supervisor Wall Clock",33.68
"FUR-FU-10001379","Furniture","Furnishings","Executive Impressions 16-1/2"" Circular Wall Clock",10.69
"FUR-FU-10001424","Furniture","Furnishings","Dax Clear Box Frame",3.49
"FUR-FU-10001468","Furniture","Furnishings","Tenex Antistatic Computer Chair Mats",68.39
"FUR-FU-10001473","Furniture","Furnishings","DAX Wood Document Frame",5.49
"FUR-FU-10001475","Furniture","Furnishings","Contract Clock, 14"", Brown",8.79
"FUR-FU-10001487","Furniture","Furnishings","Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",6.98
"FUR-FU-10001488","Furniture","Furnishings","Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",84.78
"FUR-FU-10001546","Furniture","Furnishings","Dana Swing-Arm Lamps",4.27
"FUR-FU-10001588","Furniture","Furnishings","Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",11.67
"FUR-FU-10001591","Furniture","Furnishings","Advantus Panel Wall Certificate Holder - 8.5x11",9.76
"FUR-FU-10001602","Furniture","Furnishings","Eldon Delta Triangular Chair Mat, 52"" x 58"", Clear",15.17
"FUR-FU-10001617","Furniture","Furnishings","Executive Impressions 8-1/2"" Career Panel/Partition Cubicle Clock",8.32
"FUR-FU-10001706","Furniture","Furnishings","Longer-Life Soft White Bulbs",1.23
"FUR-FU-10001731","Furniture","Furnishings","Acrylic Self-Standing Desk Frames",2.14
"FUR-FU-10001756","Furniture","Furnishings","Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",7.62
"FUR-FU-10001847","Furniture","Furnishings","Eldon Image Series Black Desk Accessories",3.31
"FUR-FU-10001852","Furniture","Furnishings","Eldon Regeneration Recycled Desk Accessories, Smoke",1.39
"FUR-FU-10001861","Furniture","Furnishings","Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",7.76
"FUR-FU-10001867","Furniture","Furnishings","Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry",8.51
"FUR-FU-10001876","Furniture","Furnishings","Computer Room Manger, 14""",25.98
"FUR-FU-10001889","Furniture","Furnishings","Ultra Door Pull Handle",8.42
"FUR-FU-10001918","Furniture","Furnishings","C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings",1.89
"FUR-FU-10001934","Furniture","Furnishings","Magnifier Swing Arm Lamp",20.98
"FUR-FU-10001935","Furniture","Furnishings","3M Hangers With Command Adhesive",1.48
"FUR-FU-10001940","Furniture","Furnishings","Staple-based wall hangings",3.18
"FUR-FU-10001967","Furniture","Furnishings","Telescoping Adjustable Floor Lamp",8.00
"FUR-FU-10001979","Furniture","Furnishings","Dana Halogen Swing-Arm Architect Lamp",32.78
"FUR-FU-10001986","Furniture","Furnishings","Dana Fluorescent Magnifying Lamp, White, 36""",20.39
"FUR-FU-10002030","Furniture","Furnishings","Executive Impressions 14"" Contract Wall Clock with Quartz Movement",8.89
"FUR-FU-10002045","Furniture","Furnishings","Executive Impressions 14""",22.23
"FUR-FU-10002088","Furniture","Furnishings","Nu-Dell Float Frame 11 x 14 1/2",3.59
"FUR-FU-10002107","Furniture","Furnishings","Eldon Pizzaz Desk Accessories",1.78
"FUR-FU-10002111","Furniture","Furnishings","Master Caster Door Stop, Large Brown",2.91
"FUR-FU-10002116","Furniture","Furnishings","Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",28.28
"FUR-FU-10002157","Furniture","Furnishings","Artistic Insta-Plaque",15.68
"FUR-FU-10002191","Furniture","Furnishings","G.E. Halogen Desk Lamp Bulbs",2.79
"FUR-FU-10002240","Furniture","Furnishings","Nu-Dell EZ-Mount Plastic Wall Frames",1.58
"FUR-FU-10002253","Furniture","Furnishings","Howard Miller 13"" Diameter Pewter Finish Round Wall Clock",34.35
"FUR-FU-10002268","Furniture","Furnishings","Ultra Door Push Plate",3.93
"FUR-FU-10002298","Furniture","Furnishings","Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",44.39
"FUR-FU-10002364","Furniture","Furnishings","Eldon Expressions Wood Desk Accessories, Oak",2.95
"FUR-FU-10002379","Furniture","Furnishings","Eldon Econocleat Chair Mats for Low Pile Carpets",41.47
"FUR-FU-10002396","Furniture","Furnishings","DAX Copper Panel Document Frame, 5 x 7 Size",5.03
"FUR-FU-10002445","Furniture","Furnishings","DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",3.79
"FUR-FU-10002456","Furniture","Furnishings","Master Caster Door Stop, Large Neon Orange",2.91
"FUR-FU-10002501","Furniture","Furnishings","Nu-Dell Executive Frame",5.06
"FUR-FU-10002505","Furniture","Furnishings","Eldon 100 Class Desk Accessories",1.35
"FUR-FU-10002506","Furniture","Furnishings","Tensor ""Hersey Kiss"" Styled Floor Lamp",10.39
"FUR-FU-10002508","Furniture","Furnishings","Document Clip Frames",6.67
"FUR-FU-10002553","Furniture","Furnishings","Electrix Incandescent Magnifying Lamp, Black",14.66
"FUR-FU-10002554","Furniture","Furnishings","Westinghouse Floor Lamp with Metal Mesh Shade, Black",23.99
"FUR-FU-10002597","Furniture","Furnishings","C-Line Magnetic Cubicle Keepers, Clear Polypropylene",3.95
"FUR-FU-10002671","Furniture","Furnishings","Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp",10.72
"FUR-FU-10002685","Furniture","Furnishings","Executive Impressions 13-1/2"" Indoor/Outdoor Wall Clock",18.70
"FUR-FU-10002703","Furniture","Furnishings","Tenex Traditional Chairmats for Hard Floors, Average Lip, 36"" x 48""",25.78
"FUR-FU-10002759","Furniture","Furnishings","12-1/2 Diameter Round Wall Clock",7.99
"FUR-FU-10002813","Furniture","Furnishings","DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size",16.19
"FUR-FU-10002874","Furniture","Furnishings","Ultra Commercial Grade Dual Valve Door Closer",31.91
"FUR-FU-10002878","Furniture","Furnishings","Seth Thomas 14"" Day/Date Wall Clock",22.78
"FUR-FU-10002885","Furniture","Furnishings","Magna Visual Magnetic Picture Hangers",3.86
"FUR-FU-10002918","Furniture","Furnishings","Eldon ClusterMat Chair Mat with Cordless Antistatic Protection",36.39
"FUR-FU-10002937","Furniture","Furnishings","GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",79.38
"FUR-FU-10002960","Furniture","Furnishings","Eldon 200 Class Desk Accessories, Burgundy",5.02
"FUR-FU-10002963","Furniture","Furnishings","Master Caster Door Stop, Gray",2.03
"FUR-FU-10003026","Furniture","Furnishings","Eldon Regeneration Recycled Desk Accessories, Black",3.87
"FUR-FU-10003039","Furniture","Furnishings","Howard Miller 11-1/2"" Diameter Grantwood Wall Clock",17.25
"FUR-FU-10003095","Furniture","Furnishings","Linden 12"" Wall Clock With Oak Frame",33.98
"FUR-FU-10003096","Furniture","Furnishings","Master Giant Foot Doorstop, Safety Yellow",6.07
"FUR-FU-10003142","Furniture","Furnishings","Master Big Foot Doorstop, Beige",4.22
"FUR-FU-10003192","Furniture","Furnishings","Luxo Adjustable Task Clamp Lamp",71.07
"FUR-FU-10003194","Furniture","Furnishings","Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",3.86
"FUR-FU-10003247","Furniture","Furnishings","36X48 HARDFLOOR CHAIRMAT",8.39
"FUR-FU-10003268","Furniture","Furnishings","Eldon Radial Chair Mat for Low to Medium Pile Carpets",31.98
"FUR-FU-10003274","Furniture","Furnishings","Regeneration Desk Collection",1.41
"FUR-FU-10003347","Furniture","Furnishings","Coloredge Poster Frame",14.20
"FUR-FU-10003374","Furniture","Furnishings","Electrix Fluorescent Magnifier Lamps & Weighted Base",39.47
"FUR-FU-10003394","Furniture","Furnishings","Tenex ""The Solids"" Textured Chair Mats",27.98
"FUR-FU-10003424","Furniture","Furnishings","Nu-Dell Oak Frame",8.54
"FUR-FU-10003464","Furniture","Furnishings","Seth Thomas 8 1/2"" Cubicle Clock",16.22
"FUR-FU-10003489","Furniture","Furnishings","Contemporary Borderless Frame",3.44
"FUR-FU-10003535","Furniture","Furnishings","Howard Miller Distant Time Traveler Alarm Clock",10.97
"FUR-FU-10003553","Furniture","Furnishings","Howard Miller 13-1/2"" Diameter Rosebrook Wall Clock",27.51
"FUR-FU-10003577","Furniture","Furnishings","Nu-Dell Leatherette Frames",11.47
"FUR-FU-10003601","Furniture","Furnishings","Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",36.89
"FUR-FU-10003623","Furniture","Furnishings","DataProducts Ampli Magnifier Task Lamp, Black,",21.65
"FUR-FU-10003664","Furniture","Furnishings","Electrix Architect's Clamp-On Swing Arm Lamp, Black",38.18
"FUR-FU-10003691","Furniture","Furnishings","Eldon Image Series Desk Accessories, Ebony",4.94
"FUR-FU-10003708","Furniture","Furnishings","Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",24.26
"FUR-FU-10003724","Furniture","Furnishings","Westinghouse Clip-On Gooseneck Lamps",3.35
"FUR-FU-10003731","Furniture","Furnishings","Eldon Expressions Wood and Plastic Desk Accessories, Oak",9.98
"FUR-FU-10003773","Furniture","Furnishings","Eldon Cleatmat Plus Chair Mats for High Pile Carpets",31.81
"FUR-FU-10003798","Furniture","Furnishings","Ultra Door Kickplate, 8""H x 34""W",15.82
"FUR-FU-10003799","Furniture","Furnishings","Seth Thomas 13 1/2"" Wall Clock",7.11
"FUR-FU-10003806","Furniture","Furnishings","Tenex Chairmat w/ Average Lip, 45"" x 53""",60.54
"FUR-FU-10003829","Furniture","Furnishings","Stackable Trays",2.46
"FUR-FU-10003832","Furniture","Furnishings","Eldon Expressions Punched Metal & Wood Desk Accessories, Black & Cherry",3.75
"FUR-FU-10003849","Furniture","Furnishings","DAX Metal Frame, Desktop, Stepped-Edge",8.10
"FUR-FU-10003878","Furniture","Furnishings","Linden 10"" Round Wall Clock, Black",6.11
