"order_id","order_date","ship_date","ship_mode","state","city","zip_code","cust_id"
"CA-2014-125556","2017-11-14","2017-11-16","Second Class","Connecticut","Fairfield","6824","ML-17410"
"CA-2014-169649","2017-12-09","2017-12-15","Standard Class","Illinois","Chicago","60653","TS-21205"
"US-2014-103338","2017-03-11","2017-03-15","Standard Class","California","Roseville","95661","RB-19435"
"CA-2017-149720","2020-06-04","2020-06-07","Second Class","Texas","Frisco","75034","EM-14065"
"US-2015-159513","2018-04-02","2018-04-09","Standard Class","California","Los Angeles","90049","JD-15790"
"CA-2014-169460","2017-04-19","2017-04-21","Second Class","California","San Jose","95123","NF-18595"
"CA-2015-120320","2018-03-05","2018-03-09","Standard Class","Texas","Houston","77036","MV-18190"
"CA-2015-158456","2018-12-24","2018-12-29","Standard Class","California","Los Angeles","90032","KT-16465"
"CA-2017-151176","2020-02-13","2020-02-20","Standard Class","Maryland","Baltimore","21215","SV-20785"
"CA-2017-163566","2020-08-03","2020-08-06","First Class","Ohio","Fairfield","45014","TB-21055"
"US-2015-158589","2018-11-20","2018-11-24","Standard Class","California","San Francisco","94109","KW-16570"
"US-2017-114034","2020-01-03","2020-01-08","Standard Class","California","Rancho Cucamonga","91730","DL-13315"
"CA-2016-116918","2019-10-01","2019-10-06","Second Class","Florida","Hialeah","33012","JK-15205"
"CA-2014-169061","2017-03-05","2017-03-08","Second Class","New York","Yonkers","10701","AB-10150"
"CA-2017-122700","2020-11-26","2020-11-30","Standard Class","Ohio","Columbus","43229","LT-17110"
"CA-2015-168004","2018-10-04","2018-10-09","Second Class","Georgia","Warner Robins","31088","DJ-13420"
"US-2014-138835","2017-09-10","2017-09-14","Standard Class","Virginia","Virginia Beach","23464","DA-13450"
"CA-2016-110009","2019-09-08","2019-09-13","Standard Class","Washington","Seattle","98103","TR-21325"
"CA-2016-126270","2019-04-23","2019-04-27","Standard Class","California","San Clemente","92672","AF-10870"
"CA-2014-138450","2017-10-18","2017-10-22","Standard Class","Pennsylvania","Philadelphia","19134","EH-13765"
"US-2017-169551","2020-07-07","2020-07-09","First Class","Pennsylvania","Philadelphia","19120","RL-19615"
"CA-2016-101329","2019-04-22","2019-04-29","Standard Class","New York","Rome","13440","MM-17920"
"CA-2015-161767","2018-11-20","2018-11-24","Standard Class","Texas","Dallas","75217","GK-14620"
"CA-2017-102729","2020-10-26","2020-10-31","Standard Class","Texas","Dallas","75217","BF-11215"
"CA-2014-131527","2017-12-01","2017-12-07","Standard Class","North Carolina","Jacksonville","28540","TB-21280"
"CA-2016-152646","2019-11-21","2019-11-26","Standard Class","California","Los Angeles","90049","TH-21235"
"CA-2016-100671","2019-11-01","2019-11-04","First Class","Texas","Conroe","77301","CS-12490"
"CA-2016-113551","2019-08-18","2019-08-20","First Class","Texas","Edinburg","78539","NF-18385"
"US-2017-106796","2020-05-12","2020-05-19","Standard Class","Ohio","Springfield","45503","JP-16135"
"CA-2014-151001","2017-04-05","2017-04-07","First Class","Illinois","Decatur","62521","JG-15805"
"US-2017-157896","2020-11-16","2020-11-16","Same Day","New York","New York City","10009","CB-12415"
"CA-2017-101637","2020-03-24","2020-03-25","Same Day","Texas","Beaumont","77705","AC-10615"
"US-2016-122245","2019-09-25","2019-09-30","Standard Class","Arizona","Phoenix","85023","AB-10105"
"US-2015-136259","2018-11-05","2018-11-08","First Class","Ohio","Lakewood","44107","CB-12415"
"CA-2016-161361","2019-03-26","2019-03-28","Second Class","Idaho","Pocatello","83201","MV-17485"
"CA-2017-122175","2020-05-12","2020-05-14","Second Class","New Jersey","Vineland","8360","CA-12775"
"CA-2014-152618","2017-03-14","2017-03-17","First Class","Illinois","Chicago","60653","RB-19465"
"CA-2015-105312","2018-11-06","2018-11-09","First Class","Arizona","Scottsdale","85254","MT-17815"
"CA-2017-134845","2020-04-17","2020-04-23","Standard Class","Colorado","Louisville","80027","SR-20425"
"CA-2017-167899","2020-05-21","2020-05-26","Standard Class","New York","Auburn","13021","JG-15805"
"CA-2017-131016","2020-09-18","2020-09-20","First Class","Texas","Arlington","76017","DC-12850"
"US-2014-120236","2017-09-03","2017-09-04","First Class","Texas","Houston","77095","MR-17545"
"CA-2015-119634","2018-08-11","2018-08-16","Standard Class","North Carolina","Raleigh","27604","BW-11065"
"CA-2014-166989","2017-11-14","2017-11-18","Standard Class","New York","New York City","10011","RM-19675"
"CA-2016-112585","2019-07-30","2019-08-02","First Class","California","San Francisco","94122","RW-19630"
"CA-2014-105165","2017-09-07","2017-09-10","First Class","Texas","Houston","77036","SZ-20035"
"CA-2014-132801","2017-10-07","2017-10-12","Standard Class","Texas","Dallas","75217","JG-15805"
"CA-2014-168312","2017-03-01","2017-03-07","Standard Class","Texas","Houston","77036","GW-14605"
"CA-2015-145849","2018-09-15","2018-09-17","Second Class","Indiana","Indianapolis","46203","CT-11995"
"CA-2014-125997","2017-09-20","2017-09-23","First Class","New York","New York City","10011","MW-18220"
"US-2017-108315","2020-04-30","2020-05-04","Standard Class","Florida","Sanford","32771","MH-18115"
"US-2015-159499","2018-11-21","2018-11-23","Second Class","Arizona","Phoenix","85023","EM-14095"
"CA-2016-157588","2019-07-14","2019-07-19","Standard Class","Georgia","Columbus","31907","AR-10570"
"CA-2015-134747","2018-10-12","2018-10-17","Second Class","Indiana","Noblesville","46060","DL-12925"
"CA-2015-110863","2018-11-17","2018-11-24","Standard Class","Oklahoma","Oklahoma City","73120","AA-10645"
"CA-2017-165386","2020-08-03","2020-08-04","First Class","Illinois","Chicago","60623","CM-12190"
"CA-2016-109652","2019-04-10","2019-04-15","Standard Class","Illinois","Chicago","60653","QJ-19255"
"CA-2014-103191","2017-09-22","2017-09-27","Standard Class","Illinois","Chicago","60653","VG-21805"
"CA-2017-152485","2020-09-04","2020-09-08","Standard Class","Texas","Coppell","75019","JD-15790"
"CA-2014-143413","2017-05-24","2017-05-30","Standard Class","Maryland","Baltimore","21215","RP-19390"
"US-2014-120740","2017-04-15","2017-04-15","Same Day","California","Los Angeles","90049","PS-18970"
"CA-2017-161809","2020-01-20","2020-01-26","Standard Class","California","Los Angeles","90045","TH-21100"
"CA-2016-113138","2019-11-19","2019-11-25","Standard Class","New York","Niagara Falls","14304","NP-18685"
"CA-2016-139549","2019-10-20","2019-10-25","Standard Class","California","El Cajon","92020","MY-18295"
"CA-2016-125738","2019-10-15","2019-10-21","Standard Class","Utah","Salt Lake City","84106","PB-18805"
"CA-2017-100237","2020-10-15","2020-10-19","Standard Class","Utah","Orem","84057","SV-20815"
"CA-2017-151981","2020-08-06","2020-08-12","Standard Class","New Hampshire","Concord","3301","GM-14455"
"CA-2015-124800","2018-09-26","2018-09-30","Standard Class","Arizona","Mesa","85204","RW-19540"
"CA-2015-145415","2018-04-12","2018-04-17","Second Class","Washington","Seattle","98103","RD-19660"
"CA-2015-105221","2018-11-01","2018-11-03","First Class","Pennsylvania","Philadelphia","19140","VM-21685"
"US-2017-159562","2020-09-09","2020-09-15","Standard Class","Michigan","Roseville","48066","JB-16000"
"CA-2016-157511","2019-09-18","2019-09-20","First Class","Ohio","Columbus","43229","SV-20365"
"US-2016-127334","2019-12-15","2019-12-21","Standard Class","Oregon","Springfield","97477","MP-18175"
"CA-2014-163867","2017-06-03","2017-06-06","First Class","Illinois","Decatur","62521","RE-19450"
"CA-2017-157833","2020-06-17","2020-06-20","First Class","California","San Francisco","94122","KD-16345"
"CA-2017-139913","2020-10-23","2020-10-29","Standard Class","New York","Rochester","14609","JC-16105"
"CA-2015-123330","2018-06-21","2018-06-27","Standard Class","Florida","Deltona","32725","EP-13915"
"CA-2014-150490","2017-08-05","2017-08-11","Standard Class","California","San Francisco","94122","SS-20590"
"US-2016-135923","2019-01-22","2019-01-28","Standard Class","North Carolina","Fayetteville","28314","CM-11935"
"CA-2016-152289","2019-08-26","2019-08-28","First Class","Texas","Pasadena","77506","LC-16930"
"CA-2017-141439","2020-11-26","2020-12-01","Standard Class","Indiana","Richmond","47374","TT-21460"
"CA-2017-109778","2020-07-16","2020-07-21","Standard Class","Illinois","Woodstock","60098","VM-21685"
"CA-2017-127180","2020-10-22","2020-10-24","First Class","New York","New York City","10024","TA-21385"
"CA-2017-117653","2020-10-19","2020-10-23","Standard Class","Illinois","Chicago","60623","MO-17500"
"CA-2016-166429","2019-09-02","2019-09-08","Standard Class","Washington","Des Moines","98198","TG-21310"
"CA-2017-124597","2020-04-30","2020-05-05","Standard Class","Florida","Boynton Beach","33437","AS-10630"
"CA-2017-101434","2020-06-20","2020-06-27","Standard Class","New Jersey","Belleville","7109","TR-21325"
"US-2017-115252","2020-10-20","2020-10-25","Standard Class","North Carolina","Durham","27707","MY-18295"
"CA-2017-138380","2020-12-21","2020-12-25","Standard Class","California","Oakland","94601","YS-21880"
"CA-2016-112256","2019-07-23","2019-07-28","Standard Class","Texas","Mcallen","78501","CK-12205"
"CA-2017-117044","2020-09-11","2020-09-13","Second Class","Illinois","Chicago","60623","HA-14920"
"CA-2017-143021","2020-11-19","2020-11-19","Same Day","New York","New York City","10011","AP-10720"
"CA-2016-164784","2019-05-01","2019-05-04","First Class","Tennessee","Memphis","38109","HF-14995"
"CA-2014-130575","2017-12-14","2017-12-16","First Class","Illinois","Chicago","60623","CS-11845"
"CA-2014-127936","2017-09-02","2017-09-04","First Class","New York","New York City","10009","CL-12565"
"CA-2016-127775","2019-06-11","2019-06-13","Second Class","New York","New York City","10035","ES-14020"
"CA-2017-100230","2020-12-11","2020-12-15","Standard Class","New York","New York City","10035","AA-10375"
"CA-2017-161130","2020-11-03","2020-11-08","Standard Class","Florida","Miami","33178","BF-11275"
"CA-2015-136735","2018-07-26","2018-08-02","Standard Class","California","San Francisco","94110","HA-14920"
"CA-2014-153976","2017-10-03","2017-10-08","Second Class","Illinois","Evanston","60201","BP-11290"
"US-2017-166688","2020-05-20","2020-05-26","Standard Class","Nevada","Las Vegas","89115","RD-19480"
"CA-2014-104808","2017-02-04","2017-02-08","Second Class","California","Escondido","92025","MH-17440"
"CA-2016-113803","2019-03-24","2019-03-26","First Class","Indiana","Richmond","47374","VG-21805"
"CA-2016-144540","2019-09-05","2019-09-10","Standard Class","Texas","Houston","77070","GH-14410"
"CA-2015-112053","2018-10-11","2018-10-13","Second Class","New York","Rochester","14609","SH-20395"
"US-2017-116701","2020-12-17","2020-12-21","Second Class","Texas","Dallas","75220","LC-17140"
"US-2017-126081","2020-06-29","2020-07-04","Standard Class","Texas","Mesquite","75150","FC-14335"
"CA-2014-125150","2017-05-16","2017-05-23","Standard Class","California","Los Angeles","90036","PW-19030"
"CA-2015-128083","2018-03-12","2018-03-17","Standard Class","Florida","Plantation","33317","EB-13750"
"CA-2017-160325","2020-09-24","2020-09-24","Same Day","Massachusetts","Lawrence","1841","BP-11095"
"US-2015-123960","2018-06-11","2018-06-16","Standard Class","Louisiana","Monroe","71203","BD-11605"
"CA-2015-135545","2018-11-24","2018-11-30","Standard Class","California","Los Angeles","90004","KM-16720"
"CA-2015-116484","2018-11-20","2018-11-26","Standard Class","Ohio","Marion","43302","JK-15205"
"CA-2017-167542","2020-08-13","2020-08-20","Standard Class","Pennsylvania","Philadelphia","19120","KD-16495"
"CA-2016-123015","2019-12-26","2019-12-30","Standard Class","New York","New York City","10024","AJ-10795"
"CA-2017-161851","2020-04-15","2020-04-17","First Class","Florida","Miami","33180","BP-11095"
"US-2017-133312","2020-11-25","2020-11-29","Standard Class","California","San Francisco","94122","BD-11500"
"CA-2016-116344","2019-07-29","2019-08-02","Standard Class","Pennsylvania","Philadelphia","19140","JO-15145"
"CA-2016-162110","2019-07-18","2019-07-22","Standard Class","Arizona","Phoenix","85023","NP-18670"
"CA-2016-118913","2019-06-25","2019-06-29","Standard Class","California","Los Angeles","90049","AS-10240"
"US-2014-110674","2017-02-12","2017-02-18","Standard Class","California","Concord","94521","SC-20095"
"CA-2016-133613","2019-06-17","2019-06-22","Standard Class","Connecticut","Waterbury","6708","CP-12340"
"CA-2017-104010","2020-04-23","2020-04-25","First Class","New York","New York City","10011","TD-20995"
"CA-2015-160059","2018-11-27","2018-12-01","Standard Class","Arkansas","Fayetteville","72701","TB-21190"
"US-2016-117037","2019-05-17","2019-05-20","First Class","Illinois","Chicago","60653","LW-17215"
"US-2017-106145","2020-09-26","2020-09-26","Same Day","California","San Francisco","94109","RA-19885"
"CA-2017-141789","2020-10-03","2020-10-06","First Class","Minnesota","Minneapolis","55407","AC-10450"
"US-2014-169789","2017-12-30","2018-01-04","Standard Class","Arizona","Phoenix","85023","MF-17665"
"CA-2015-106565","2018-03-20","2018-03-23","First Class","Wisconsin","Milwaukee","53209","BW-11110"
"US-2015-116981","2018-03-26","2018-03-28","Second Class","New York","New York City","10009","SM-20950"
"CA-2017-148642","2020-03-06","2020-03-12","Standard Class","Texas","Dallas","75220","DW-13540"
"US-2016-128678","2019-09-15","2019-09-20","Standard Class","Washington","Seattle","98105","RB-19570"
"CA-2015-151722","2018-10-05","2018-10-09","Standard Class","Ohio","Columbus","43229","IL-15100"
"CA-2017-169012","2020-07-10","2020-07-14","Standard Class","Georgia","Columbus","31907","BF-11275"
"US-2014-109036","2017-12-20","2017-12-25","Standard Class","Washington","Seattle","98103","KH-16510"
"CA-2016-145499","2019-05-30","2019-05-31","First Class","North Carolina","Wilmington","28403","RW-19690"
"CA-2017-122595","2020-12-14","2020-12-20","Standard Class","Illinois","Chicago","60653","GM-14455"
"CA-2017-126928","2020-09-17","2020-09-23","Standard Class","New Jersey","Morristown","7960","GZ-14470"
"CA-2015-121699","2018-08-10","2018-08-14","Standard Class","Michigan","Detroit","48227","BD-11320"
"CA-2014-166954","2017-04-25","2017-04-30","Standard Class","California","San Gabriel","91776","BT-11305"
"US-2016-104794","2019-12-16","2019-12-19","First Class","New York","New York City","10009","KD-16495"
"US-2016-113677","2019-11-13","2019-11-19","Standard Class","New York","New York City","10011","CM-12655"
"CA-2015-166338","2018-12-06","2018-12-07","First Class","Ohio","Troy","45373","MP-18175"
"CA-2016-152534","2019-06-20","2019-06-25","Second Class","California","Salinas","93905","DP-13105"
"US-2014-123519","2017-12-14","2017-12-21","Standard Class","Ohio","Marion","43302","SS-20875"
"CA-2017-141873","2020-10-09","2020-10-14","Standard Class","New York","New York City","10024","HG-14845"
"US-2017-111423","2020-08-17","2020-08-19","First Class","New York","Watertown","13601","EH-13765"
"CA-2017-100202","2019-12-31","2020-01-05","Standard Class","California","Anaheim","92804","BD-11620"
"CA-2015-158659","2018-11-10","2018-11-14","Second Class","Indiana","Richmond","47374","SC-20695"
"US-2017-131849","2020-06-06","2020-06-10","Standard Class","California","San Francisco","94122","GH-14410"
"CA-2014-163748","2017-10-14","2017-10-18","Standard Class","Texas","Fort Worth","76106","HG-15025"
"CA-2015-117961","2018-11-26","2018-11-30","Standard Class","Massachusetts","Leominster","1453","GP-14740"
"CA-2017-126914","2020-06-15","2020-06-19","Standard Class","North Carolina","Monroe","28110","JE-15715"
"CA-2016-106915","2019-11-26","2019-12-02","Standard Class","Texas","El Paso","79907","GA-14515"
"CA-2017-153227","2020-12-04","2020-12-06","First Class","California","Los Angeles","90032","CS-12250"
"US-2017-119438","2020-03-18","2020-03-23","Standard Class","Texas","Tyler","75701","CD-11980"
"CA-2015-135510","2018-09-05","2018-09-12","Standard Class","Virginia","Charlottesville","22901","TW-21025"
"CA-2014-126277","2017-09-13","2017-09-18","Second Class","Ohio","Columbus","43229","LH-16900"
"US-2014-117135","2017-06-21","2017-06-23","Second Class","Virginia","Waynesboro","22980","NP-18325"
"US-2017-103814","2020-12-09","2020-12-16","Standard Class","Illinois","Park Ridge","60068","LH-16900"
"CA-2016-122322","2019-07-15","2019-07-21","Standard Class","Utah","Provo","84604","RH-19510"
"CA-2017-111647","2020-07-03","2020-07-07","Standard Class","Texas","Plano","75023","RD-19585"
"CA-2017-150266","2020-11-25","2020-11-30","Standard Class","Texas","Houston","77070","RO-19780"
"CA-2014-163559","2017-09-23","2017-09-28","Second Class","New York","New York City","10035","ST-20530"
"CA-2016-158155","2019-05-02","2019-05-06","Standard Class","New York","New York City","10009","EH-13765"
"CA-2015-122287","2018-06-18","2018-06-23","Standard Class","Arizona","Peoria","85345","SN-20560"
"CA-2014-133963","2017-05-18","2017-05-22","Second Class","Texas","Dallas","75220","GA-14515"
"CA-2015-162782","2018-02-21","2018-02-27","Standard Class","Maryland","Columbia","21044","PW-19240"
"CA-2014-141005","2017-08-15","2017-08-18","First Class","Connecticut","Fairfield","6824","CS-12355"
"CA-2017-113418","2020-10-01","2020-10-03","First Class","New York","New York City","10035","CM-12655"
"CA-2017-167381","2020-09-22","2020-09-24","Second Class","Michigan","Lansing","48911","EH-14005"
"CA-2014-166730","2017-12-30","2018-01-01","First Class","Tennessee","Memphis","38109","DD-13570"
"CA-2016-101693","2019-06-25","2019-06-27","Second Class","Texas","Houston","77070","LC-17140"
"US-2016-165505","2019-01-23","2019-01-27","Standard Class","Vermont","Burlington","05408","CB-12535"
"CA-2016-146206","2019-09-10","2019-09-14","Second Class","Texas","Houston","77095","KT-16480"
"CA-2014-125542","2017-12-05","2017-12-07","First Class","Pennsylvania","Philadelphia","19134","NB-18655"
"CA-2015-127502","2018-12-10","2018-12-14","Standard Class","California","San Francisco","94110","MT-17815"
"CA-2014-100706","2017-12-16","2017-12-18","Second Class","Virginia","Springfield","22153","LE-16810"
"CA-2017-118346","2020-07-23","2020-07-24","First Class","Wisconsin","Kenosha","53142","PO-19180"
"CA-2017-112431","2020-10-12","2020-10-14","Second Class","California","Los Angeles","90049","RW-19690"
"CA-2015-129042","2018-12-12","2018-12-17","Standard Class","Maryland","Baltimore","21215","EM-13960"
"CA-2017-104822","2020-10-20","2020-10-20","Same Day","New York","New York City","10024","RB-19465"
"CA-2015-158323","2018-11-30","2018-12-03","First Class","North Carolina","Jacksonville","28540","AB-10600"
"CA-2014-149958","2017-03-15","2017-03-19","Standard Class","Florida","Tampa","33614","AS-10240"
"US-2014-158365","2017-04-12","2017-04-17","Standard Class","Indiana","Bloomington","47401","SV-20785"
"CA-2015-168809","2018-08-25","2018-08-25","Same Day","Texas","Houston","77041","MC-18100"
"US-2016-116442","2019-12-15","2019-12-22","Standard Class","California","Los Angeles","90004","BP-11230"
"CA-2016-116526","2019-09-01","2019-09-05","Standard Class","Michigan","Detroit","48227","JA-15970"
"CA-2014-126333","2017-12-23","2017-12-28","Standard Class","Texas","Port Arthur","77642","ME-18010"
"US-2015-117184","2018-05-17","2018-05-21","Standard Class","Texas","Houston","77095","ON-18715"
"CA-2015-111514","2018-08-31","2018-09-02","First Class","California","San Francisco","94122","SC-20260"
"CA-2015-113110","2018-03-19","2018-03-23","Standard Class","California","San Bernardino","92404","BK-11260"
"CA-2016-128706","2019-02-27","2019-03-02","Standard Class","Texas","Houston","77070","DW-13540"
"CA-2015-103723","2018-12-01","2018-12-06","Standard Class","Washington","Seattle","98105","BT-11305"
"CA-2017-105410","2020-03-19","2020-03-22","First Class","California","San Francisco","94110","ND-18370"
"CA-2014-124429","2017-05-27","2017-05-27","Same Day","California","San Diego","92105","MH-17785"
"CA-2017-140508","2020-09-18","2020-09-21","First Class","Texas","Dallas","75220","PA-19060"
"CA-2015-161452","2018-04-05","2018-04-11","Standard Class","California","Los Angeles","90036","CA-11965"
"CA-2014-134677","2017-10-06","2017-10-10","Standard Class","California","San Diego","92024","XP-21865"
"CA-2014-128986","2017-08-03","2017-08-05","Second Class","Arizona","Glendale","85301","GH-14410"
"CA-2017-120719","2020-03-23","2020-03-26","First Class","Washington","Seattle","98105","SJ-20125"
"CA-2014-168158","2017-07-19","2017-07-24","Standard Class","Montana","Great Falls","59405","EM-14140"
"CA-2017-143658","2020-11-08","2020-11-13","Second Class","New York","New York City","10035","SR-20425"
"CA-2014-117317","2017-10-19","2017-10-19","Same Day","California","Los Angeles","90032","JF-15490"
"US-2017-122672","2020-11-04","2020-11-09","Standard Class","Ohio","Lancaster","43130","HG-14965"
"US-2017-167570","2020-12-08","2020-12-15","Standard Class","Pennsylvania","Philadelphia","19140","EG-13900"
"CA-2017-158722","2020-10-20","2020-10-26","Standard Class","Pennsylvania","Philadelphia","19120","MA-17560"
"CA-2016-116603","2019-07-17","2019-07-22","Standard Class","New York","New York City","10024","AT-10735"
"US-2016-106313","2019-08-22","2019-08-26","Standard Class","Washington","Seattle","98105","DG-13300"
"CA-2017-135034","2020-08-01","2020-08-03","First Class","Illinois","Chicago","60653","AT-10735"
"CA-2017-143035","2020-10-03","2020-10-05","Second Class","New York","New York City","10009","CC-12430"
"CA-2014-126760","2017-07-26","2017-08-02","Standard Class","Nevada","North Las Vegas","89031","KM-16720"
"CA-2016-143406","2019-09-26","2019-09-30","Standard Class","Texas","Houston","77041","LR-17035"
"CA-2017-117198","2020-08-31","2020-09-05","Standard Class","Louisiana","Monroe","71203","BG-11035"
"CA-2017-134635","2020-04-15","2020-04-17","Second Class","California","Los Angeles","90049","NS-18640"
"CA-2015-148495","2018-08-13","2018-08-13","Same Day","California","Pomona","91767","SF-20065"
"CA-2016-110254","2019-08-04","2019-08-08","Standard Class","Virginia","Suffolk","23434","ML-17755"
"CA-2017-144456","2020-09-08","2020-09-09","First Class","Florida","Hialeah","33012","FC-14245"
"CA-2017-138618","2020-12-01","2020-12-08","Standard Class","Texas","San Antonio","78207","MY-17380"
"CA-2014-157546","2017-07-20","2017-07-22","First Class","California","San Francisco","94122","RD-19720"
"CA-2015-132948","2018-03-27","2018-04-03","Standard Class","Washington","Seattle","98115","MV-17485"
"CA-2017-117394","2020-09-04","2020-09-10","Standard Class","Pennsylvania","Philadelphia","19120","MM-17920"
"CA-2014-120411","2017-09-20","2017-09-23","First Class","Illinois","Chicago","60653","SB-20185"
"CA-2017-162978","2020-05-04","2020-05-09","Standard Class","California","San Francisco","94109","LW-16990"
"CA-2016-102162","2019-09-11","2019-09-16","Standard Class","Virginia","Newport News","23602","JF-15565"
"US-2016-137547","2019-03-07","2019-03-12","Standard Class","Texas","Fort Worth","76106","EB-13705"
"CA-2016-133697","2019-10-20","2019-10-24","Second Class","Texas","Houston","77095","CM-12445"
"CA-2014-106439","2017-10-31","2017-11-04","Standard Class","California","Los Angeles","90049","GG-14650"
"CA-2016-127236","2019-03-29","2019-04-02","Standard Class","Ohio","Springfield","45503","TB-21595"
"CA-2017-105445","2020-02-20","2020-02-25","Second Class","Colorado","Louisville","80027","BP-11095"
"CA-2016-129630","2019-09-04","2019-09-04","Same Day","California","San Francisco","94122","IM-15055"
"CA-2016-136133","2019-08-18","2019-08-23","Second Class","New York","New York City","10024","HW-14935"
"CA-2017-157854","2020-04-08","2020-04-15","Standard Class","Georgia","Roswell","30076","DM-13345"
"CA-2017-113453","2020-10-21","2020-10-28","Standard Class","Pennsylvania","Philadelphia","19143","CM-12160"
"CA-2016-108056","2019-09-29","2019-10-03","Standard Class","Oregon","Springfield","97477","ES-14080"
"CA-2016-119025","2019-02-22","2019-02-28","Standard Class","Wisconsin","Milwaukee","53209","PV-18985"
"CA-2014-104269","2017-03-01","2017-03-06","Second Class","Washington","Seattle","98115","DB-13060"
